juris,n,ubo_rate
Malta,565269,0.0
British Virgin Islands,387987,7.584274730854385
Bermuda,169486,0.22302727068902445
Barbados,142732,0.001401227475268335
Aruba,63584,0.0
Undetermined,62479,0.1200403335520735
Panama,62096,0.29631538263334195
Samoa,53537,0.3044623344602798
Bahamas,52294,0.04206983592763988
Cayman Islands,43288,0.7692663093698022
Seychelles,30612,1.5059453808963805
Cook Islands,19230,2.7925117004680184
NA,12944,74.96137206427689
Jersey,9770,8.362333674513819
Isle of Man,9718,10.835562873019141
Cayman,6534,2.861952861952862
British Anguilla,4013,0.0
Mauritius,3910,7.41687979539642
Niue,3470,0.0
Singapore,3433,0.11651616661811826
Labuan,2884,2.0110957004160888
Hong Kong,2721,0.1470047776552738
Belize,1661,0.963275135460566
Nevada,1497,0.46760187040748163
United States,571,0.0
"Recorded in leaked files as ""fund""",456,0.0
Saint Kitts and Nevis,423,0.7092198581560284
United Kingdom,373,0.8042895442359249
Liechtenstein,356,0.0
Guernsey,347,0.5763688760806917
United States of America,330,0.0
United Arab Emirates,307,0.32573289902280134
Cyprus,283,2.1201413427561837
Liberia,242,0.8264462809917356
South Dakota,194,23.195876288659793
Turks and Caicos Islands,132,0.0
Costa Rica,131,0.0
Uruguay,129,0.0
State of Delaware,106,0.0
Anguilla,93,5.376344086021505
Delaware,80,28.749999999999996
Florida,72,40.27777777777778
Wyoming,67,8.955223880597014
New Zealand,64,0.0
Malaysia,47,0.0
Gibraltar,47,0.0
COOK ISLANDS,44,0.0
Marshall Islands,34,5.88235294117647
Grenada,34,0.0
Switzerland,28,0.0
Saint Vincent and the Grenadines,27,0.0
Netherlands Antilles,25,4.0
Nevis,23,73.91304347826086
Texas,17,0.0
Netherlands,16,0.0
St. Lucia,13,0.0
Latvia,12,0.0
Brunei,10,0.0
Ireland,10,0.0
Alaska,8,25.0
Antigua and Barbuda,7,0.0
Vanuatu,6,0.0
Lebanon,4,0.0
United States Of America,4,0.0
Ras Al Khaimah,4,0.0
District of Columbia,4,75.0
New York,3,0.0
Luxembourg,3,0.0
GUERNSEY,3,0.0
Saint Lucia,3,0.0
Monaco,2,50.0
Illinois,2,0.0
Virginia,2,100.0
COOKISLANDS,1,0.0
BRITISH VIRGIN ISLANDS,1,0.0
New Hampshire,1,0.0
Ghana,1,0.0
Cyprus ,1,100.0
Georgia,1,0.0
Oklahoma,1,0.0
"Panama
",1,0.0
USA (Delaware),1,0.0
USA (South Dakota),1,0.0
